DepartmentID,DepartmentName,DepartmentGroup,ServiceType,TargetWaitingDays,VolumeWeight,EmergencyWeight,WaitingPressure,CancellationModifier
D01,General Surgery,Surgical Services,Mixed,90,1.25,1.1,1.0,1.0
D02,Orthopaedics,Surgical Services,Elective-heavy,120,1.35,0.75,1.35,1.12
D03,Urology,Surgical Services,Elective-heavy,90,0.9,0.55,0.85,0.88
D04,Gynaecology,Surgical Services,Mixed,90,0.85,0.7,1.05,0.95
D05,ENT,Surgical Services,Elective-heavy,120,0.75,0.4,1.3,1.05
D06,Ophthalmology,Surgical Services,Elective-heavy,90,1.1,0.2,0.9,0.78
D07,Plastic Surgery,Surgical Services,Elective-heavy,120,0.55,0.3,1.2,1.02
D08,Neurosurgery,Surgical Services,Emergency-heavy,30,0.45,1.3,0.75,1.18
D09,Vascular Surgery,Surgical Services,Mixed,60,0.5,0.95,0.8,1.08
D10,Other Surgical Services,Surgical Services,Mixed,90,0.7,0.65,1.1,1.0
